cues,result,compare
soothu,278000,91400
sor zai,170,201
sorry naik lorry,223,223
sorry no cure,53100,53100
sot sot,13600,4300
sotong,439000,399000
sour look,19000,31900
soursop,217000,195000
soursop puree,3690,11400
speaking siak,4,4
specky,266000,266000
spectacle chocolate,546,547
spg,4700000,5080000
spiak,10100,10400
spin cracker,203,642
spinning top,222000,230000
spoil,6900000,4220000
spoil market,5930,6170
sponge cake,310000,308000
spot on,14800000,11600000
spout nonsense,7060,7000
squeeze through,36500,35400
stable pah marble,240000,248000
stand by bed,54400,65200
stand by universe,2460,2370
standard,608000000,500000000
staple mulut,1,1
staple your mouth,6,6
stay,613000000,674000000
stayber pah marber,2,2
steady,69100000,57100000
steady hand,258000,274000
steady pom pee pee,627,642
steali,13900,14600
steali pom pee pee,7070000,10100000
steam,65000000,74100000
steamed cake,60800,74800
steamed glutinous rice,31000,34400
steamed nut,160,180
step,507000000,508000000
step ah beng,95,116
step ah lian,3,3
step angry,32700,32700
step baik,856,882
step beng,324,324
step besar,525,525
step big,3050000,2920000
step bijak,1,1
step blur,588,545
step bodoh,8,8
step busy,23200,23200
step cantik,1530,1520
step chio,78,85
step class,112000,112000
step classy,9,59600
step clever,7460,7490
step comel,5,5
step cool,54500,54500
step cute,636000,650000
step fierce,8620,8520
step funny,62800,67400
step garang,43,35
step gerek,339,390
step good,411000,411000
step handsome,158000,163000
step hensem,6,6
step hot,2420000,2260000
step jamb,5,5
step jambu,202,166
step kacak,7,7
step kaya,2620,2620
step ke ai,16200000,13600000
step ke lian,865000,789000
step kelakar,4,4
step kesian,5,5
step kiut,1,1
step kuai,4,2
step lawa,41,41
step lian,290,318
step lomantic,16100,84700
step macho,26000,25500
step marah,7,8
step mat,8460,48600
step mat salleh,4,4
step minah,139,290
step muda,495,520
step nice,398000,398000
step pandai,146,144
step pelat,85600,92400
step pretty,331000,345000
step rich,49600,52700
step romantic,83300,84700
step sachok,6,6
step sad,7060,7150000
step sedih,8,8
step sek,378,378
step sexy,1420000,1480000
step shuai,4,4
step sibuk,4,4
step slim,163000,163000
step smart,65800,65800
step stupid,14700,15900
step sweet,385000,399000
step tall,102000,104000
step terror,2240,2250
step young,841000,841000
stewpiak,5,5
stewpig,3190,3130
stick game,24100,29200
stick to rule,140000,140000
stick-shaped,25000,25000
sticky rice,511000,529000
sticky rice dumpling,12900,12800
stinko,31200,30100
stir fried turnip,11100,12000
stir shit,26500,26600
stoink,956,956
stoink face,2,2
stomp it,118000,115000
stomper,243000,237000
stone,192000000,142000000
stone face,74600,82800
stoner,9470000,13000000
strawberry generation,6480,6480
street smart,377000,329000
string game,78200,79400
study mama,6090,25300
stun,842000,1590000
stunned like vegetable,2030,1990
stupiak,14100,14200
stupid mistake,103000,103000
stylo,812000,901000
stylo milo,6210,6220
sua par kau,1,1
suaku,8690,6050
suan,1010000,1110000
suara sumbang,17700,17400
suay,112000,119000
suay suay,7840,7840
sub standard,259000,240000
subhanallah,409000,395000
submissive husband,274000,277000
subtle anger,401,401
suck thumb,39600,38500
sud sud,49800,394000
sudah,39800000,41700000
sudah lah,43200,32200
sugee,40200,40500
sugoi,140000,136000
sui,52800000,55700000
suka,34000000,38000000
suka hati,99800,99100
suka hati lah,5350,3900
suka suka,277000,628000
sukati,22100,21300
sukati lah,160,177
suku,6910000,8770000
sumpah,808000,813000
sundal,322000,328000
sundry good,2010,2000
sup sup sui,406,423
super ring,102000,49700
super white horse,3070,3550
superior absent,300,300
support dari belakang,955,1650
sure anot,4740,4730
sure can one,35200,35200
susah,3860000,3260000
susahkan orang,2390,4070
sutun,19100,18800
swaku,2440,2440
swee,6290000,6300000
swee swee,23400,23400
swee swee boh cham chwee,1,1
swee swee boh kay chwee,8,8
swee swee boh zhao chwee,2,2
sweet like diabetes,5,5
sweet nothings,310000,315000
swing tangan,62,50
switch off,1110000,1140000
switch on,2400000,2070000
switch stance,11500,11000
syncopant,30,30
syt,192000,174000
t drops,24700,25000
tabah,288000,599000
tabah hati,1220,1220
tactical movement,14500,65000
taf club,3000,3020
tagih dadah,267,286
tahan,8230000,7890000
tahi arak,108,109
tahi dadah,173,222
tahi gossip,5960,5970
tahi hutang,6,6
tahi judi,631,2170
tahi kucing,3490,4760
tahu,12800000,16300000
tahu goreng,73900,72800
tai chi,972000,1120000
tai chi master,20300,22700
tai tai,271000,310000
taik,382000,373000
taiko,541000,552000
tair,377000,373000
tak ada brain,6,6
tak ada filter,3810,3200
tak ada otak,14500,9070
tak ada standard,5000,3320
tak apa,423000,330000
tak betul,136000,135000
tak boleh,1370000,1220000
tak boleh angkat,16400,16600
tak boleh angz,9,9
tak boleh make it,498,437
tak boleh tahan,99800,119000
tak boleh take it,284,248
tak cakap siang siang,129,84
tak guna,180000,143000
tak jalan,50100,55600
tak kena,414000,375000
tak kuasa,51700,126000
tak larat,80300,60100
tak logic,1500,1600
tak makan saman,2250,2240
tak nak sua,1,1
tak nak sudah,2110,2120
tak nak tak apa,4,3
tak nak takpe,1050,824
tak pakai,301000,295000
tak pe,44000,42600
tak sanggup,209000,132000
tak senonoh,86900,50400
tak tahu malu,38700,17200
takde bodek,30,46
takde brain,8,6
takde filter,544,484
takde hal cari hal,5,5
takde hati,2000,1550
takde otak,1460,2240
takde pasal cari pasal,245,238
takde problem cari problem,2,1
takde standard,609,435
take away,11900000,11200000
take without permission,8820,8700
take you go market sell,241000000,412000000
talam ubi,26200,26200
talam ubi kayu,10600,10200
talcum powder,163000,858000
talk 3 talk 4,1960,1870
talk big,588000,615000
talk bird,6650,1530
talk cock,268000,285000
talk cock sing song,6490,7120
talk loudly,45100,45500
talk nonsense,111000,110000
talk rot,12300,10300
talk rubbish,24900,24600
tamade,22900,22200
tamago boro,1840,678
tambah,8830000,4080000
tambelan laksa,216,210
tampan,682000,711000
tan boh chiak,8,8
tan chiak,544,631
tan chiak peng,6,6
tan colored skin,1560,1530
tan ku ku,2220,2250
tan lui,4770,1970
tandoori masala,53800,59700
tang chek,1060,1070
tang kee,11500,10400
tang ku ku,117,121
tangan itchy,3,3
tangkai jering,3560,4800
tangkap,935000,750000
tangkap chio,8440,8540
tangkap emo,5,3
tangkap feel,162,175
tangkap feeling,220,155
tangkap feeling feeling,1,204000
tangkap glam,6,6
tangkap glamer,84,6
tangkap glamour,84,76
tangkap handsome,128,106
tangkap jamb,2320,1
tangkap jambu,118,134
tangkap jiwang,331,292
tangkap lawa,2,3
tangkap macho,4,4
tangkap sweet,3,3
tank crew,342000,375000
tankee,34300,9550
tao eh,30100,29300
tao yen,1110,388
tap water,1650000,1680000
tapi,23200000,22700000
tapioca flour,76300,73500
tapioca pearl,40200,36900
tar por,12500,12400
target practice,440000,440000
tarik harga,4320,4900
taruh hati,80,82
tau geh,31200,1740
tau hong,4550,12700
tau kee,8300,7700
tau tiah,43,47
taught a lesson,346000,377000
taupok,20200,23900
tear piak shoot,5,5
tebal muka,7400,13900
techno chee ko pek,4,3
teddy biscuit,4970,8210
tee kee,3310,3190
tee nya kueh,31,33
teh,20400000,20400000
teh gu,481,504
teh gu lai liao,3,3
teh kosong,8100,8110
teh lum pa chi saht,5990,178000
teh masala,1200,1200
teh pao,317,334
teh tarik,358000,353000
teh-C,31300,29900
tei mia,260,449
tekan,1750000,881000
tekan session,456,435
telekung,120000,132000
telinga gajah,4580,4370
telinga tak korek,4,4
telt,1090000,1120000
telur mata lembu,1470,1600
temasek holdings,380000,411000
temasick,2970,3140
tembalik,87,96
tempat biasa,23200,23000
tempat regular,114,57
tempayan mouth,4,3
teng teng,31000,30600
tengik,32300,28400
tengok kaki ah,3,3
tengok kaki lah,7,5
tengok kaki sikit,2,2
teochew cuisine,61500,62400
tepi sikit,13500,5070
tepuk sebelah tangan,1090,1430
tepung,1460000,1110000
tepung gomak,6230,8080
tepung gomak fnb,408,729
ter bak chek,2,2
ter bye,95,86
ter tau,817,832
ter tau ter nao,410000,400000
terbaboom,136,155
terbalik,991000,979000
terengganu laksa,1950,1890
terh,44300,22400
terkongkong,5140,5610
terperanjat,46700,45500
terperanjat beruk,503,542
terror,27300000,19700000
teruk,870000,960000
tetek,2910000,2690000
thaathaa,1140,992
thaipusam,183000,179000
thalai,127000,128000
thambi,378000,359000
than chia peng,5,5
thandachoru,61,67
thangachi,146000,141000
thangam,64500,81300
thanz,33800,33400
the peng,49200,48900
then you know,17200000,19700000
thiam,475000,485000
thick-headed,46600,47400
thin disc candy,12700000,13700000
thin flat dough,184,197
thin wafer,41700,43100
thin-skinned,175000,46000
thoolu,254,284
thoongumoonji,95,70
thousand layer cake,17000,17000
throw marbles,171,172
throw smoke,3930,3850
thru,37700000,42900000
thulukkan,191,168
thulukkar,305,277
thx,8480000,6020000
ti gong,27400,27200
ti gong tia gong lang,1,1
tia,18800000,14500000
tia bo,3760,3750
tia gong,5060,4960
tiam,213000,206000
tian mi mi,27100,27300
tidak apa,396000,317000
tidur tidur ayam,2730,1320
tiger mother,26800,34500
tiger show,57800,59500
tikam,97100,102000
tikam tikam,32400,25100
tiko,391000,375000
tiko pek,319,680
time lambat,1010,784
tin teh,2070,2110
tio,20300000,25100000
tio beh pio,516,476
tio kan,1200,1200
tio stomp,188,224
tio stun,242,241
tiong,6390000,6730000
tiong xim,120,122
tionged,231,231
tiongified,3,3
tipu,2100000,2080000
tipu duit,7850,7830
tipu feeling,5,3
tipu money,255,174
tir ko pek,4,4
tired die me,610,589
tiu,497000,462000
tock tock man,5,5
togok,28000,27100
togok session,59,59
toh,11400000,9430000
tok chai tau,4,4
tok kong,10800,11000
tok sad,10100,10600
tolong,2930000,3120000
tolong lah,36600,28800
tolong lah sikit,1680,773
tolong sikit,6000,4530
toman,661000,1180000
tombalik,424,424
tompang,14300,14300
tong keng,8730,8850
tong shu,12200,14600
tony tan,244000,279000
too lan,7060,6880
too free,485000,516000
too noisy,489000,520000
toot,410000,447000
topo general,180,176
topo king,821,824
tor hwee,135,141
tora,8630000,6460000
touch lottery,1060,1060
touch wood,52200,56200
tow kong,335,324
towkay,70000,70400
towkay neo,2320,2370
town council,562000,567000
traditional brew,7640,7510
traditional chinese medicine,872000,816000
trouble others,9220,9220
tru,9100000,8840000
tsao,457000,443000
tsao kng,1,1
tt,62200000,48300000
ttm,3020000,763000
tu hao,37200,37000
tu lan,11700,35100
tua,57600000,56700000
tua bangka,21200,20600
tua ganyut,509,530
tua kang,6360,6360
tua kee,3660,3690
tua kerepot,1240,1260
tua liap,1910,2040
tua pai,1160,1210
tua pek kong,96700,97500
tua pian sian,6,6
tua tao,915,872
tua teow,135,115
tuang,167000,417000
tuang king,84,101
tuang queen,4,4
tuangster,3,3
tube-shaped,141000,140000
tudung,17100000,9610000
tum sim,1390,4340
tumbuk,212000,198000
tumpang,563000,571000
tumpang bahagia,836,619
tumpang gembira,9220,6160
tumpang happy,2650,2000
tumpang sad,3,2
tumpang sedih,872,874
tung shing,12000,35900
tunggu lama lama,49400,49500
tunjuk muka,14300,13900
tup pai,45,45
tutup one eye,2,2
tutup satu mata,811,577
tutup sebelah mata,3380,2980
twisted mind,155000,164000
twisties,115000,150000
two players,2180000,1230000
ty,65200000,74100000
tyco,601000,618000
tyvm,121000,122000
tzai,53800,53400
tzai chiu,4780,4840
tzai si,62,56
tze char,70600,63500
udderwise,559,563
uh uh sia,5,5
uh uh siak,52000,137000
uh uh siol,493,516
uh uh siot,56600000,60100000
ular,4590000,3810000
ular king,4990,5360
ular queen,19,52
ulu,3470000,3880000
uluated,64,60
um chio,691,693
umph,243000,242000
un-glam,20900,22300
uncle,38800000,30300000
uncle ice cream,3050,4700
unclear vision,4860,2510
unclefied,3,3
under table money,2790,2930
understooded,984,865
unglam,18100,17400
untahanable,32,32
up,1270000000,1210000000
up the lorry,44300,151000
up there,6920000,6920000
urbanista,76600,269000
vaisakhi,53700,198000
vanakkam,63300,64100
vennai,7170,7240
very the,5200000,3150000
very what one,4730,4730
vesak day,256000,271000
vetti,152000,159000
vetti officer,6000,6000
viet bu,4630,5480
void deck,253000,191000
vomit blood,102000,223000
vpl,7330000,8270000
wa kao,2280,4470
wa lan,6010,5880
wa lau,10800,11400
wa piang,1430,1430
wa seh,4260,4240
wa siao,422,418
wah,9830000,9100000
wah lap,770,953
wait long long,49800,48200
wake up your idea,266000,391000
walk walk,125000,39600
wandering spirit,52700,66700
wang ba dan,9170,9170
wang qing shui,2220,2210
wang wang,80800,82600
wash photo,4530,4480
waste air liur,4,5
waste duit,162,174
waste effort,9040,9110
waste money,414000,164000
waste saliva,456,441
watch out,6560000,5710000
wax apple,49600,50800
wayang,676000,853000
wayang king,2670,2680
wayang pek ji,27,27
wayang ppl,220,39
wayang queen,183,196
weeweet,198,198
wenla,1290,1270
wet market,375000,368000
wet wet water,76700,76600
weva,119000,121000
whack,2050000,1750000
whacko,25900,26300
whacky,354000,340000
what,1290000000,1210000000
what done,144000,144000
what lah,4000,4110
what look look,677,20300
what talking you,4870,1580
what the fish,1330000,1240000
what the shit,621000,589000
what thing,166000,166000
what to do,68200000,50400000
what-squat,4950,4840
wheel cracker,1450,1590
where got god in heaven,5,5
where ada time,1,1
where got,70800,75300
where got time,12300,16000
whew,605000,567000
white devil,310000,323000
white face,535000,535000
white horse,645000,636000
white rabbit,808000,808000
white robe,56100,81100
white spider,22400,101000
why you so liddat ar,130,107
win oreddy,25,26
win liao,18000,16400
win lottery,421000,406000
winter solstice,305000,337000
woi,521000,497000
wont die,36600,36000
woo hoo,80500,307000
woodbridge hospital,16200,15600
worf,268000,271000
workers party,588000,628000
working class,4010000,4060000
worn out,1350000,1620000
worry about grades,19600,19200
worry about reputation,5840,5750
wound dressing,139000,141000
woven fabric,1170000,1160000
wowie,106000,372000
wowo,181000,168000
wowo king,431,432
wu hee kwa,179000,180000
wu hua,97800,98500
wu hua guo,1450,4670
wu kok,3750,1460
wu liao,13200,13600
wu lui,783,848
wu sim,510,632
wurf,469000,460000
xdd,685000,296000
xhh,198000,197000
xia lan,7920,7730
xia suay,7790,8000
xia lan,8010,7730
xiang jiao ren,592,595
xiao di,91900,17300
xiao di di,5550,4680
xiao long bao,233000,225000
xiao long nu,2620,4830
xiao man tou,954,1530
xiao mei mei,7790,8380
xiao qiang,26300,14400
xiao san,18100,7710
xie xie,237000,239000
xin nian kuai le,15600,13200
xin tong,530000,21100
xingfu,321000,325000
xinyao,62800,61100
xln,75200,353000
xmm,217000,245000
ya right,62000,69600
ya siol,67,66
yalor,17100,16700
yam paste,64600,63300
yam seng,25200,13300
yan yan,205000,214000
yandao,30000,29100
yang or,18700,74800
yat keok tek,49,46
yau kwee,268,270
yau mo gau chor,49,50
yau siu,2840,2840
yau siu kia,9,9
yaya,14500000,18100000
yaya king,406,403
yaya papaya,13400,13800
yaya queen,835,2000
ye eleh,55,56
yeh yeh,54100,157000
yelah tu,1360,1480
yellow minded,2470,2520
yest,386000,392000
yeye or,1190,1170
yeye pantat,4,4
yistana,1330,1380
you think i thought who confirm,1850,1840
you want 10 cent,739,733
you mei you gao cuo,27,25
you say i say who confirm,116,114
you talk i talk who listen,61700000,64900000
you tiao,59200,63800
you tot wat,26600000,14400000
young ruffian,3500,3550
your father own this place,149,149
your father own this road,7,7
your grandfather's place ah,3,3
your grandfather's road ah,447,422
your head,19600000,19600000
yu sheng,193000,175000
yum cha,154000,150000
yum seng,6190,5570
yummy,48400000,56100000
yupi bear,196,477
yupi gummy hotdog,6,7
yupi iced cola,243,243
yuppie,689000,324000
z monster,400000,400000
zai,6060000,5290000
zao,623000,654000
zao beh hoon,17300,153000
zao hor,64,55
zao king,163,164
zao kng,81,82
zao queen,5,5
zao yim,4,4
zar tan,306,305
zeh zeh,5410,5510
zero fighter,242000,242000
zero point,873000,857000
zg,7690000,6680000
zheng ah,1610,1550
zhng,23000,21100
zho pai nang,7,7
zhu tou zhu nao,2,2
zhun,60500,66200
zhun bo,10100,10500
zhun zhun,2770,2600
zhup,8290,8470
zi siao,226,202
zi cai,2710,2690
zi char,185000,188000
zina,6700000,7650000
zor kang,6,6
zor tang,6,6
zor teng,14,13
zzz,10200000,8040000
