cues,result,compare
boon lang sai,497000,533000
borak,463000,436000
born cheap act class,1,1
borong,726000,853000
borrow,24700000,26400000
boss,67500000,41000000
botak,326000,378000
botak head,2080,2100
botch up,13600,13500
boy girl relationship,205000,205000
braised dish,2510,2820
brengsek,121000,121000
bs,63500000,73400000
bth,1080000,890000
btss,37600,30700
bu guan,8350,8460
bu hui zuo ren,4,4
buah,11400000,10200000
buah cheri,524,524
buah duku,11800,11900
buah kana,8750,8830
buah susu,92500,17700
bual slang,21500,25700
buang,1040000,2410000
buang buang duit,10400,10400
buang saliva,1,1
buang tebiat,5530,4410
buang time,119,113
buat bodoh,22800,17900
buat cerita dongeng,2290,2290
buat dek,7300,5670
buat malu,41500,27900
buay,85000,215000
buay swee,410,412
buay gum,638,1300
buay hiao,659,662
buay hiao bai,222,222
buay hiao cho lang,1170,1150
buay hoo,37,38
buay kan,348,972
buay kantang,5,5
buay kia nang,8,8
buay kum guan,33,33
buay pai,4800,4510
buay paiseh,1830,1790
buay sai,3630,3180
buay si,411,411
buay song,8950,8700
buay steady,629,654
buay tahan,13000,13100
buay tank,53,53
buay tong,331,363
buay tze tong,6,6
buay yau kin,1,1
buay zai,385,212
buaya,641000,558000
buayalogy,3,3
budak baru nak up,4590,4730
budak kental,104,104
budak payung,61,105
buddhist festival,19000,17600
budget hotel,932000,938000
buffed body,3300,3300
bujang terlajak,5140,4130
bukit timah,4380000,3790000
bulat,2090000,1830000
bully king,11900,11800
bully queen,9140,10900
bun knife,345,898
bung kah tio lum pa,98500,94000
bunk mate,2450,13500
buntu,641000,209000
bunuh,397000,366000
burn hand,5510,8560
buruk,2670000,3080000
buruk siku,1850,1770
bus mrt walk,2810,3040
busuk,443000,456000
buta,917000,706000
buta hati,7940,7750
buta huruf,59100,54900
butoh,61000,258000
butt itchy,2360,2360
butter cookie,284000,78500
butter filling,76600,78800
butter sugar bun,1820,1840
butter topping,17900,18000
butterface,568000,563000
butterfly biscuit,6930,7610
buwee,855,976
cab,42600000,46600000
cabul,314000,384000
cabul maruah,7,7
cabut,280000,459000
cacat,2240000,2420000
cacat akal,673,659
cacat otak,3490,3060
cai niao,6040,5780
cair hati,1750,1190
cakap besar,7720,9190
cakap slang,1250,948
cake lapis,16600,16600
calefare,7810,3630
call backup,9710,9910
call girl,1210000,666000
camel toe,733000,683000
campur tangan,198000,198000
can,1450000000,1430000000
can or not,603000,256000
can die,456000,182000
can is can,309000,309000
can say again,26500,26500
cannon fairy,1510,1510
cannot be bothered,364000,132000
cannot keep secret,4160,4150
cannot make it,915000,896000
cannot stand it,61000,60000
cannot take it,427000,415000
cannot wait,1470000,1350000
cantik,23200000,26100000
cap merah,5490,5580
cari hal,13600,9380
cari makan,206000,133000
cari pasal,41900,43300
cari point,1630,1520
cari trouble,6,6
carry ball,7770,7770
